POSITION_X,POSITION_Y,TRACK_ID
27.0746,86.4584,196
36.8427,88.5528,195
35.8521,87.8215,194
21.6013,85.0557,193
30.2968,82.6265,192
17.2916,89.8508,191
28.5762,70.8377,190
31.0791,69.6308,189
17.1798,83.5579,188
31.2208,80.2952,187
16.9654,60.068999999999996,186
38.8586,76.1629,185
17.9347,76.6029,184
15.9701,92.7641,183
13.5468,80.1662,182
19.5291,59.3638,181
26.9957,71.105,180
24.5983,65.0885,179
9.72321,83.8374,178
26.6984,58.5514,177
13.3631,67.7668,176
32.2634,69.2619,175
8.36139,68.1868,174
25.3431,67.9249,173
41.3072,75.1193,172
35.9674,78.3266,171
14.002,80.5216,170
12.1243,63.3458,169
22.1005,77.9021,168
22.3681,91.6719,167
14.799000000000001,75.7647,166
23.7878,91.586,165
27.0759,87.1238,164
22.7844,89.8329,163
34.9967,70.2926,162
32.7336,82.109,161
38.2866,85.5624,160
29.5397,92.1974,159
28.910999999999998,57.4144,158
27.5632,90.5836,157
19.755,58.4427,156
40.5217,80.9111,155
20.4512,81.1529,154
23.1292,62.015,153
23.5983,83.948,152
41.6874,84.5945,151
22.8943,70.3108,150
29.2702,94.3774,149
29.9767,88.1135,148
36.2001,62.0058,147
20.2455,90.8482,146
27.8046,68.1905,145
42.2782,67.9972,144
8.72505,78.1146,143
36.2768,62.7874,142
15.1798,83.0274,141
11.0471,82.2108,140
7.82884,80.6164,139
35.5358,75.3273,138
34.9747,69.596,137
31.476,93.2007,136
41.7315,72.4852,135
15.8575,68.0366,134
36.7501,85.2644,133
35.1725,60.0571,132
15.72,58.3487,131
34.0773,59.9184,130
33.668,90.0354,129
9.152569999999999,80.953,128
9.45801,66.4419,127
26.947,83.1218,126
40.6992,62.7511,125
14.4645,64.709,124
39.2488,68.8971,123
16.3919,57.9366,122
7.299910000000001,81.3426,121
34.3524,88.5974,120
18.8239,77.4274,119
16.3077,82.125,118
6.7092,72.5928,117
22.0467,74.0015,116
32.9551,90.1354,115
43.8743,71.0516,114
15.0989,71.7293,113
27.767,57.2511,112
40.6212,74.499,111
37.7955,90.3312,110
10.3628,77.2346,109
6.93925,80.7006,108
35.6262,86.9358,107
31.8164,57.2539,106
5.63625,71.6104,105
7.81918,66.1072,104
25.3046,72.6406,103
39.5868,77.5439,102
26.5571,67.0956,101
22.5856,39.939,100
29.0525,25.2037,99
17.2852,34.8162,98
18.1989,8.85272,97
43.461999999999996,23.2187,96
20.2484,43.6667,95
35.0252,10.8835,94
24.7933,10.4681,93
40.3766,25.1369,92
13.4386,21.1253,91
38.4593,23.6805,90
30.69,19.4948,89
21.1183,33.9664,88
24.6357,27.3892,87
35.9542,21.6863,86
17.1771,8.1161,85
27.4848,5.6398,84
10.4559,11.3427,83
19.5874,38.2984,82
15.5537,14.8732,81
29.6336,6.214169999999999,80
23.5355,33.1355,79
15.674000000000001,20.5121,78
39.187,11.2358,77
20.4583,34.8962,76
35.0666,9.10795,75
23.2899,10.6656,74
28.5298,28.728,73
26.4673,31.7278,72
39.3789,22.2728,71
5.43195,25.4765,70
25.7007,32.9595,69
24.5724,33.2054,68
8.12923,16.5686,67
40.3283,26.6843,66
23.5812,16.6043,65
16.4557,8.19947,64
23.9253,19.4078,63
31.4847,38.4298,62
32.991,25.838,61
31.755,35.5235,60
11.5431,32.2822,59
38.3229,23.5302,58
31.211,16.8221,57
35.1088,21.1252,56
8.92123,22.5076,55
9.629769999999999,23.1041,54
31.5052,6.60133,53
37.0349,22.0282,52
7.86009,21.1058,51
34.3753,33.9446,50
22.7632,9.79082,49
36.6668,10.8547,48
7.83294,29.4528,47
23.1925,15.8324,46
38.4937,34.3432,45
27.392,33.3264,44
6.044630000000001,18.7509,43
43.0724,31.0818,42
25.8292,5.10901,41
23.4245,15.5054,40
11.2312,30.816,39
16.5292,28.08,38
40.0059,18.4533,37
41.4425,30.6096,36
27.7602,6.756360000000001,35
43.8475,30.238000000000003,34
7.1654800000000005,24.5314,33
41.0628,35.4057,32
26.2106,13.9531,31
43.0762,17.4095,30
19.9588,28.0983,29
38.7854,23.2751,28
12.0259,31.8506,27
20.1975,17.2791,26
21.0417,15.8567,25
27.2813,28.2439,24
35.8762,23.4952,23
10.6654,14.5184,22
21.7476,39.8576,21
34.7729,38.1493,20
30.5146,16.0512,19
27.8044,5.8436,18
34.698,30.0064,17
24.2309,34.1734,16
19.3441,30.5462,15
19.9311,5.93093,14
24.8295,5.12351,13
34.2304,13.7511,12
7.20258,23.2902,11
42.5958,19.2056,10
24.6355,28.9106,9
36.2995,21.2898,8
11.7714,18.59,7
10.2248,30.2153,6
27.4486,31.875999999999998,5
11.9112,37.9269,4
31.7533,24.9481,3
16.7054,17.3745,2
13.1859,31.3254,1
43.3183,76.9488,200
15.9256,64.7779,199
12.3559,89.6905,198
16.9346,78.3838,197
27.0109,86.3768,196
36.8544,88.5333,195
35.9396,87.8974,194
21.721999999999998,85.0096,193
30.3714,82.6012,192
17.3438,89.7018,191
28.6611,70.8913,190
30.9611,69.712,189
17.1229,83.5508,188
31.3227,80.3259,187
16.9083,59.9499,186
38.7007,76.0734,185
18.1724,76.7073,184
13.2323,31.256,1
13.6517,80.0925,182
19.5541,59.3518,181
26.9353,71.0658,180
24.504,65.4185,179
9.76724,83.7549,178
26.8644,58.4675,177
13.3373,67.8968,176
32.3562,69.1782,175
8.4563,68.1744,174
25.4786,67.9839,173
41.2823,75.0282,172
36.0082,78.4916,171
13.9101,80.4059,170
12.0529,63.2971,169
22.0018,77.778,168
22.3399,91.5496,167
14.8463,75.7098,166
23.6796,91.5781,165
27.1032,87.1711,164
22.8078,89.9298,163
34.8562,70.2477,162
32.8149,82.0602,161
38.2261,85.6069,160
29.6092,92.1683,159
28.8599,57.3903,158
27.5915,90.5412,157
19.9915,58.382,156
40.5368,80.7384,155
20.2967,81.1033,154
23.0567,62.1727,153
23.7234,84.0361,152
41.6246,84.6639,151
22.8947,70.3686,150
29.1679,94.2059,149
29.9441,88.1122,148
36.2431,61.9869,147
20.2309,90.7115,146
27.7143,68.2463,145
42.0808,67.9499,144
8.761519999999999,77.947,143
36.2479,62.9196,142
15.1456,83.0413,141
11.0904,82.1664,140
7.927639999999999,80.6582,139
35.5207,75.3099,138
35.0353,69.6762,137
31.4728,93.0597,136
41.6349,72.5327,135
15.634,68.0568,134
36.8371,85.1534,133
35.168,60.051,132
15.6788,58.5371,131
34.0324,60.0098,130
33.7325,90.12200000000001,129
9.28027,81.0152,128
9.6872,66.3721,127
27.1322,82.9595,126
40.6611,62.7257,125
14.6538,64.7091,124
39.2456,68.8337,123
16.4339,57.9688,122
7.30012,81.5218,121
34.4852,88.4991,120
18.9129,77.4814,119
16.2827,82.0916,118
6.8270800000000005,72.6148,117
22.1369,74.1487,116
32.9342,90.1507,115
43.9532,71.0411,114
15.128,71.7185,113
27.8841,57.328,112
40.5667,74.4424,111
16.7197,17.357,2
10.4317,77.23899999999999,109
7.0202,80.6053,108
35.5947,86.9229,107
31.8263,57.2838,106
5.70345,71.5511,105
7.8521399999999995,66.1312,104
25.465999999999998,72.8385,103
39.5946,77.5478,102
26.6316,67.1185,101
22.62,39.9185,100
29.0303,25.1933,99
17.2943,34.8585,98
18.2074,8.91499,97
43.4855,23.2358,96
20.2458,43.6734,95
35.0223,10.8679,94
24.7686,10.4086,93
40.3528,25.1498,92
13.3714,21.1045,91
38.545,23.6944,90
30.7078,19.4624,89
21.1064,33.9976,88
24.6315,27.3756,87
35.9564,21.7221,86
17.1149,8.08423,85
27.4582,5.62817,84
10.4446,11.3188,83
19.6224,38.279,82
15.5873,14.8339,81
29.6206,6.21074,80
23.5468,33.1335,79
15.6719,20.51,78
39.2109,11.2369,77
20.4721,34.9143,76
35.0504,9.151760000000001,75
23.2418,10.6179,74
28.5316,28.7384,73
26.5009,31.7551,72
39.3512,22.2675,71
5.44191,25.4873,70
25.717,32.9585,69
24.5373,33.1497,68
8.14108,16.5589,67
40.344,26.6132,66
23.5872,16.6009,65
16.4931,8.21963,64
23.9503,19.4043,63
31.5267,38.4759,62
32.9633,25.8226,61
31.8037,35.5448,60
11.5789,32.2776,59
38.3335,23.4953,58
31.2203,16.8337,57
35.1337,21.1566,56
8.98127,22.5019,55
9.67624,23.0805,54
31.4468,6.640569999999999,53
37.0419,22.045,52
7.85642,21.1381,51
34.393,33.9263,50
22.7514,9.8473,49
36.6576,10.8707,48
7.764460000000001,29.4604,47
23.1621,15.825,46
38.4615,34.3265,45
27.4079,33.3409,44
6.0365400000000005,18.7746,43
43.1456,31.0484,42
25.8184,5.11148,41
23.4249,15.4874,40
11.2573,30.8267,39
16.559,28.0361,38
40.0434,18.4458,37
41.4702,30.6006,36
27.7322,6.727689999999999,35
43.812,30.2274,34
7.2225600000000005,24.5431,33
41.1116,35.3864,32
26.2207,13.9099,31
43.0908,17.4118,30
19.9159,28.0916,29
38.8,23.2571,28
12.0302,31.8466,27
20.2135,17.2766,26
21.0094,15.9406,25
27.2424,28.2629,24
35.8491,23.494,23
10.6386,14.5386,22
21.6637,39.8121,21
34.7392,38.1332,20
30.5291,16.0364,19
27.8013,5.88051,18
34.7176,30.0065,17
24.2375,34.1758,16
19.4066,30.5701,15
19.9749,5.94664,14
24.7949,5.13248,13
34.2674,13.6614,12
7.154739999999999,23.2406,11
42.56,19.2594,10
24.6345,28.8931,9
36.2713,21.2663,8
11.7951,18.5518,7
10.1585,30.1838,6
27.4553,31.8585,5
11.8972,37.9204,4
31.766,24.9843,3
43.3544,76.9702,200
16.0207,64.8452,199
12.2024,89.656,198
16.8766,78.4752,197
26.9828,86.505,196
36.7931,88.5359,195
35.912,87.9937,194
21.7055,85.1136,193
30.1969,82.5779,192
17.3067,89.7124,191
28.6357,70.85300000000001,190
31.0811,69.7022,189
17.316,83.477,188
31.3849,80.312,187
16.9231,59.7743,186
