 ,TRACK_ID,Frame,POSITION_X,POSITION_Y,z,m0,m1,m2,m3,m4,NPscore
25029,7141,481,13.377938,67.260095,0,0.125,1.064,1.412,1.9969999999999999,3.0069999999999997,0.353
25030,7141,482,13.392701,67.276454,0,0.146,1.006,1.34,1.925,2.9789999999999996,0.336
25031,7141,483,13.604304,67.23416,0,0.11599999999999999,1.0270000000000001,1.369,1.964,3.025,0.405
25032,7141,484,13.450423,67.36064300000001,0,0.122,1.033,1.355,1.899,2.843,0.405
25033,7142,476,36.032493,20.406456000000002,0,0.062,0.871,1.026,1.245,1.555,0.247
25034,7142,477,36.246889,20.398875,0,0.069,0.972,1.318,1.9469999999999998,3.117,0.42100000000000004
25035,7143,476,29.247365000000002,22.958194,0,0.061,0.929,1.2109999999999999,1.706,2.6010000000000004,0.436
25036,7143,478,29.343524,22.788352999999997,0,0.086,1.058,1.484,2.267,3.738,0.24100000000000002
25037,7143,480,29.371720000000003,22.831312000000004,0,0.099,1.0070000000000001,1.344,1.9380000000000002,3.009,0.43799999999999994
25038,7143,481,29.236858,23.000089,0,0.057,0.9109999999999999,1.199,1.713,2.6510000000000002,0.474
25039,7143,482,29.339267999999997,22.974553,0,0.065,0.898,1.138,1.538,2.228,0.37
25040,7144,476,63.507766,23.837191,0,0.067,0.884,1.0390000000000001,1.28,1.6580000000000001,0.262
25041,7144,478,62.765493,24.103191000000002,0,0.086,0.946,1.207,1.65,2.427,0.48100000000000004
25042,7145,476,59.652229000000005,31.41194,0,0.139,1.001,1.33,1.9080000000000001,2.951,0.375
25043,7145,477,59.655022,31.424974,0,0.17300000000000001,1.0190000000000001,1.3719999999999999,1.999,3.141,0.24
25044,7145,478,59.607275,31.35209,0,0.184,1.037,1.403,2.041,3.188,0.20199999999999999
25045,7145,479,59.658480000000004,31.354351000000005,0,0.133,0.98,1.2570000000000001,1.7180000000000002,2.51,0.385
25046,7145,480,59.565912000000004,31.425772000000006,0,0.128,1.0490000000000002,1.4369999999999998,2.1319999999999997,3.408,0.32899999999999996
25047,7145,481,59.62828900000001,31.411674,0,0.154,1.048,1.405,2.019,3.108,0.308
25048,7145,482,59.654224000000006,31.443195,0,0.16699999999999998,0.995,1.301,1.824,2.7439999999999998,0.298
25049,7145,483,59.63919500000001,31.352755000000002,0,0.166,0.96,1.18,1.518,2.053,0.259
25050,7145,484,59.64172200000001,31.383345000000002,0,0.09,1.012,1.365,1.9769999999999999,3.068,0.42700000000000005
25051,7145,485,59.647574000000006,31.346105,0,0.10300000000000001,0.975,1.264,1.758,2.63,0.48200000000000004
25052,7146,476,26.420716000000002,33.339775,0,0.066,0.883,1.117,1.517,2.219,0.35100000000000003
25053,7146,477,26.361132,33.034939,0,0.073,0.888,1.16,1.659,2.594,0.447
25054,7147,476,59.767939000000005,36.101254,0,0.10400000000000001,1.077,1.51,2.296,3.755,0.237
25055,7147,477,59.793209000000004,36.19315700000001,0,0.10300000000000001,0.9640000000000001,1.245,1.7369999999999999,2.62,0.456
25056,7148,476,60.879021,46.262055,0,0.18600000000000003,1.005,1.3259999999999998,1.876,2.847,0.254
25057,7148,477,60.872370999999994,46.314324000000006,0,0.198,0.995,1.304,1.834,2.772,0.217
25058,7148,478,60.870509000000006,46.30794,0,0.185,0.975,1.266,1.7630000000000001,2.637,0.261
25059,7149,476,52.660685,54.61086400000001,0,0.066,0.951,1.238,1.729,2.592,0.452
25060,7149,477,52.866037000000006,54.607007,0,0.07400000000000001,0.986,1.376,2.108,3.503,0.35700000000000004
25061,7150,476,24.581326,59.111318,0,0.107,1.064,1.4909999999999999,2.273,3.735,0.26
25062,7150,477,24.578533,59.24485,0,0.11800000000000001,1.047,1.409,2.03,3.128,0.301
25063,7150,479,24.542224,59.168242000000006,0,0.11,1.008,1.347,1.939,3.0010000000000003,0.41100000000000003
25064,7151,476,12.721716,63.61709200000001,0,0.087,1.0490000000000002,1.432,2.113,3.353,0.35
25065,7151,478,12.572623000000002,63.695296,0,0.077,1.046,1.4469999999999998,2.169,3.502,0.289
25066,7152,476,14.718843999999999,66.00470800000001,0,0.057,0.9520000000000001,1.3159999999999998,1.9869999999999999,3.2439999999999998,0.452
25067,7152,478,14.571347000000001,65.435867,0,0.047,0.8340000000000001,1.023,1.305,1.73,0.24
25068,7153,477,53.088812000000004,3.977498,0,0.076,1.014,1.405,2.11,3.41,0.325
25069,7153,479,52.899021,4.088952,0,0.059000000000000004,0.9059999999999999,1.17,1.6219999999999999,2.418,0.387
25070,7154,477,5.415361,9.115022,0,0.045,0.826,1.0390000000000001,1.405,2.052,0.252
25071,7154,479,5.019287000000001,8.783586000000001,0,0.079,1.067,1.534,2.403,4.047,0.214
25072,7154,481,4.950127,8.570121,0,0.062,0.9359999999999999,1.254,1.8459999999999999,2.966,0.523
25073,7155,477,11.810533000000001,16.059351000000003,0,0.081,1.042,1.429,2.122,3.389,0.298
25074,7155,478,11.632313,16.166549,0,0.09699999999999999,1.036,1.3840000000000001,1.9780000000000002,3.023,0.368
25075,7156,477,37.826663,20.376398000000002,0,0.124,0.995,1.305,1.8430000000000002,2.801,0.389
25076,7156,478,37.814826000000004,20.517910000000004,0,0.13,0.976,1.305,1.905,3.025,0.39799999999999996
25077,7156,480,37.755109,20.271195,0,0.12,1.089,1.4980000000000002,2.21,3.484,0.268
25078,7157,477,27.133995,20.54052,0,0.065,1.012,1.443,2.2359999999999998,3.7289999999999996,0.27899999999999997
25079,7157,479,26.782742000000006,19.980324,0,0.071,0.9540000000000001,1.29,1.9180000000000001,3.113,0.466
25080,7157,480,26.789126,19.960906,0,0.085,0.985,1.329,1.945,3.074,0.451
